comid,gnis_name_shapefile,name,name_source,gnis_id,gnis_name_raw,gnis_class,gnis_state,n_candidates,distance_m,alternatives
24252336,Riffe Lake,Riffe Lake,shapefile,1528606,Riffe Lake,Reservoir,Washington,1,3043.6,
24252436,Silver Lake,Silver Lake,shapefile,1508347,Silver Lake,Lake,Washington,1,66.9,
24252444,Spirit Lake,Spirit Lake,shapefile,1526377,Spirit Lake,Lake,Washington,1,832.6,
23761332,,Dorena Lake,gnis_inside,1120032,Dorena Lake,Reservoir,Oregon,1,1059.6,
23761342,,Cottage Grove Lake,gnis_inside,1158179,Cottage Grove Lake,Reservoir,Oregon,1,780.8,
23769069,,Fern Ridge Lake,gnis_inside,1120678,Fern Ridge Lake,Reservoir,Oregon,1,1501.4,
23788981,,Foster Lake,gnis_inside,1158892,Foster Lake,Reservoir,Oregon,1,395.3,
23807386,,Henry Hagg Lake,gnis_inside,1158095,Henry Hagg Lake,Reservoir,Oregon,1,703.1,
23756364,,Hills Creek Lake,gnis_inside,1158881,Hills Creek Lake,Reservoir,Oregon,1,2453.0,
23756162,,Fall Creek Lake,gnis_inside,1158871,Fall Creek Lake,Reservoir,Oregon,1,2024.1,
23756168,,Dexter Reservoir,gnis_inside,1119918,Dexter Reservoir,Reservoir,Oregon,1,542.2,
23756298,,Waldo Lake,gnis_inside,1151818,Waldo Lake,Lake,Oregon,1,429.9,
23812618,,Timothy Lake,gnis_inside,1151253,Timothy Lake,Reservoir,Oregon,1,634.1,
23783629,,Detroit Lake,gnis_inside,1639301,Detroit Lake,Reservoir,Oregon,1,614.2,
23816352,,Mud Lake,gnis_inside,1166975,Mud Lake,Lake,Oregon,6,1084.5,Sturgeon Lake; Malarky Lake; Petes Slough
23927716,,Lost Creek Lake,gnis_inside,1158890,Lost Creek Lake,Reservoir,Oregon,1,869.7,
23842132,Ozette Lake,Ozette Lake,shapefile,1531490,Ozette Lake,Lake,Washington,1,391.0,
23848103,"Quinault, Lake","Quinault, Lake",shapefile,1531495,Lake Quinault,Lake,Washington,1,322.6,
23893677,,Siltcoos Lake,gnis_inside,1158483,Siltcoos Lake,Lake,Oregon,1,323.0,
23898298,,Diamond Lake,gnis_inside,1140999,Diamond Lake,Lake,Oregon,1,323.1,
24536610,,"Whatcom, Lake",gnis_inside,1531537,Lake Whatcom,Lake,Washington,1,2891.1,
24536646,,"Samish, Lake",gnis_inside,1513949,Lake Samish,Lake,Washington,1,253.7,
24002191,"Crescent, Lake","Crescent, Lake",shapefile,1518325,Lake Crescent,Lake,Washington,1,2085.8,
24260289,Ross Lake,Ross Lake,shapefile,1525222,Ross Lake,Reservoir,Washington,1,13279.8,
24284232,,Alder Lake,gnis_inside,1515791,Alder Lake,Reservoir,Washington,1,3860.2,
24539574,"Washington, Lake","Washington, Lake",shapefile,1531534,Lake Washington,Lake,Washington,1,1307.8,
24260671,Baker Lake,Baker Lake,shapefile,1516055,Baker Lake,Reservoir,Washington,1,4948.1,
23966965,Spada Lake,Spada Lake,shapefile,1529336,Spada Lake,Reservoir,Washington,1,441.6,
24286248,Lake Cushman,Lake Cushman,shapefile,1518432,Lake Cushman,Reservoir,Washington,1,3247.5,
24539662,"Sammamish, Lake","Sammamish, Lake",shapefile,1531115,Lake Sammamish,Lake,Washington,1,373.9,
23994287,,American Lake,gnis_inside,1503014,American Lake,Lake,Washington,1,467.7,
120054019,,Crump Lake,gnis_inside,1119601,Crump Lake,Lake,Oregon,1,430.7,
24052303,,Hart Lake,gnis_inside,1121637,Hart Lake,Reservoir,Oregon,1,1309.3,
24005573,,,none,,,,,0,,
24005581,,Malheur Lake,gnis_near,1123710,Malheur Lake,Lake,Oregon,1,100.4,
24005647,,,none,,,,,0,,
24051813,,Swamp Lake,gnis_inside,1127802,Swamp Lake,Lake,Oregon,1,172.5,
24032426,,Summer Lake,gnis_inside,1150595,Summer Lake,Lake,Oregon,1,623.9,
24040174,,"Abert, Lake",gnis_inside,1116755,Lake Abert,Lake,Oregon,1,1231.9,
17899085,Sanchez Reservoir,Sanchez Reservoir,shapefile,193119,Sanchez Reservoir,Reservoir,Colorado,1,1179.6,
17724998,Elephant Butte Reservoir,Elephant Butte Reservoir,shapefile,888840,Elephant Butte Reservoir,Reservoir,New Mexico,1,1241.5,
17843270,El Vado Reservoir,El Vado Reservoir,shapefile,906103,El Vado Reservoir,Reservoir,New Mexico,1,1007.8,
17843236,Heron Reservoir,Heron Reservoir,shapefile,923891,Heron Reservoir,Reservoir,New Mexico,1,636.4,
